txn_id,date,amount,currency,description,reference_id
TXN-10052,2023-10-03,919.73,INR,ACH Transfer Srvce_Providr_52 INV-1052,
TXN-10023,2023-10-31,4934.99,INR,Payment to Company_X ref INV-1023,INV-1023
TXN-10079,2023-10-19,2247.68,INR,RAZORPAY SETTLEMENT order_RzP79xk,order_RzP79xk
TXN-10042,2023-10-03,3983.91,INR,Payment to Company_Q ref INV-1042,INV-1042
TXN-10008,2023-10-20,4592.98,INR,Payment to Company_I ref INV-1008,INV-1008
TXN-10044,2023-10-17,3885.11,INR,Payment to Company_S ref INV-1044,INV-1044
TXN-10055,2023-10-13,3866.89,INR,ACH Transfer Srvce_Providr_55 INV-1055,
TXN-10048,2023-10-14,4380.86,INR,Payment to Company_W ref INV-1048,INV-1048
TXN-10021,2023-10-21,3355.24,INR,Payment to Company_V ref INV-1021,INV-1021
TXN-10028,2023-10-20,4537.08,INR,Payment to Company_C ref INV-1028,INV-1028
TXN-10014,2023-10-11,3838.45,INR,Payment to Company_O ref INV-1014,INV-1014
TXN-10064,2023-10-18,756.18,INR,ACH Transfer Srvce_Providr_64 INV-1064,
TXN-10036,2023-10-09,4996.23,INR,Payment to Company_K ref INV-1036,INV-1036
TXN-10058,2023-10-28,1145.36,INR,ACH Transfer Srvce_Providr_58 INV-1058,
TXN-10017,2023-10-18,1910.66,INR,Payment to Company_R ref INV-1017,INV-1017
TXN-10057,2023-10-25,3472.49,INR,ACH Transfer Srvce_Providr_57 INV-1057,
TXN-10019,2023-10-07,1930.66,INR,Payment to Company_T ref INV-1019,INV-1019
TXN-10067,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10040,2023-10-20,3778.15,INR,Payment to Company_O ref INV-1040,INV-1040
TXN-10027,2023-10-28,2268.07,INR,Payment to Company_B ref INV-1027,INV-1027
TXN-10034,2023-10-09,4418.53,INR,Payment to Company_I ref INV-1034,INV-1034
TXN-10078,2023-10-24,2692.08,INR,AMZN WEB SRVCS 78,AW-78
TXN-10053,2023-10-28,4006.17,INR,ACH Transfer Srvce_Providr_53 INV-1053,
TXN-10013,2023-10-31,2959.4,INR,Payment to Company_N ref INV-1013,INV-1013
TXN-10054,2023-10-25,972.8,INR,ACH Transfer Srvce_Providr_54 INV-1054,
TXN-10031,2023-10-28,4171.06,INR,Payment to Company_F ref INV-1031,INV-1031
TXN-10061,2023-10-13,882.62,INR,ACH Transfer Srvce_Providr_61 INV-1061,
TXN-10015,2023-10-22,3310.22,INR,Payment to Company_P ref INV-1015,INV-1015
TXN-10009,2023-10-23,662.68,INR,Payment to Company_J ref INV-1009,INV-1009
TXN-10062,2023-10-03,2881.44,INR,ACH Transfer Srvce_Providr_62 INV-1062,
TXN-10076,2023-10-13,2359.01,INR,AMZN WEB SRVCS 76,AW-76
TXN-10007,2023-10-27,663.79,INR,Payment to Company_H ref INV-1007,INV-1007
