txn_id,true_ledger_id
TXN-10001,LEDG-50001
TXN-10002,LEDG-50002
TXN-10003,LEDG-50003
TXN-10004,LEDG-50004
TXN-10005,LEDG-50005
TXN-10006,LEDG-50006
TXN-10007,LEDG-50007
TXN-10008,LEDG-50008
TXN-10009,LEDG-50009
TXN-10010,LEDG-50010
TXN-10011,LEDG-50011
TXN-10012,LEDG-50012
TXN-10013,LEDG-50013
TXN-10014,LEDG-50014
TXN-10015,LEDG-50015
TXN-10016,LEDG-50016
TXN-10017,LEDG-50017
TXN-10018,LEDG-50018
TXN-10019,LEDG-50019
TXN-10020,LEDG-50020
TXN-10021,LEDG-50021
TXN-10022,LEDG-50022
TXN-10023,LEDG-50023
TXN-10024,LEDG-50024
TXN-10025,LEDG-50025
TXN-10026,LEDG-50026
TXN-10027,LEDG-50027
TXN-10028,LEDG-50028
TXN-10029,LEDG-50029
TXN-10030,LEDG-50030
TXN-10031,LEDG-50031
TXN-10032,LEDG-50032
TXN-10033,LEDG-50033
TXN-10034,LEDG-50034
TXN-10035,LEDG-50035
TXN-10036,LEDG-50036
TXN-10037,LEDG-50037
TXN-10038,LEDG-50038
TXN-10039,LEDG-50039
TXN-10040,LEDG-50040
TXN-10041,LEDG-50041
TXN-10042,LEDG-50042
TXN-10043,LEDG-50043
TXN-10044,LEDG-50044
TXN-10045,LEDG-50045
TXN-10046,LEDG-50046
TXN-10047,LEDG-50047
TXN-10048,LEDG-50048
TXN-10049,LEDG-50049
TXN-10050,LEDG-50050
TXN-10051,LEDG-50051
TXN-10052,LEDG-50052
TXN-10053,LEDG-50053
TXN-10054,LEDG-50054
TXN-10055,LEDG-50055
TXN-10056,LEDG-50056
TXN-10057,LEDG-50057
TXN-10058,LEDG-50058
TXN-10059,LEDG-50059
TXN-10060,LEDG-50060
TXN-10061,LEDG-50061
TXN-10062,LEDG-50062
TXN-10063,LEDG-50063
TXN-10064,LEDG-50064
TXN-10065,LEDG-50065
TXN-10066,
TXN-10067,
TXN-10068,
TXN-10069,
TXN-10070,
TXN-10076,LEDG-50076
TXN-10077,LEDG-50077
TXN-10078,LEDG-50078
TXN-10079,LEDG-50079
TXN-10080,LEDG-50080
