ledger_id,date,amount,currency,party_name,invoice_id,description
LEDG-50042,2023-10-03,3983.91,INR,Company_Q,INV-1042,Vendor payment
LEDG-50026,2023-10-23,3223.14,INR,Company_A,INV-1026,Vendor payment
LEDG-50008,2023-10-20,4592.98,INR,Company_I,INV-1008,Vendor payment
LEDG-50076,2023-10-08,2359.01,INR,AWS Cloud Hosting,AW-76,Monthly Server Bill
LEDG-50077,2023-10-01,1271.39,INR,AWS Cloud Hosting,AW-77,Monthly Server Bill
LEDG-50041,2023-10-12,2792.42,INR,Company_P,INV-1041,Vendor payment
LEDG-50036,2023-10-09,4996.23,INR,Company_K,INV-1036,Vendor payment
LEDG-50002,2023-10-31,1352.2,INR,Company_C,INV-1002,Vendor payment
LEDG-50060,2023-10-03,3782.67,INR,Service_Provider_60,INV-1060,Consulting services
LEDG-50005,2023-10-25,4859.85,INR,Company_F,INV-1005,Vendor payment
LEDG-50027,2023-10-28,2268.07,INR,Company_B,INV-1027,Vendor payment
LEDG-50007,2023-10-27,663.79,INR,Company_H,INV-1007,Vendor payment
LEDG-50063,2023-10-19,1763.33,INR,Service_Provider_63,INV-1063,Consulting services
LEDG-50010,2023-10-27,149.85,INR,Company_K,INV-1010,Vendor payment
LEDG-50072,2023-10-29,809.46,INR,Software Inc,INV-1072,Annual SaaS License
LEDG-50016,2023-10-28,293.07,INR,Company_Q,INV-1016,Vendor payment
LEDG-50003,2023-10-09,3141.25,INR,Company_D,INV-1003,Vendor payment
LEDG-50073,2023-10-29,887.31,INR,Software Inc,INV-1073,Annual SaaS License
LEDG-50014,2023-10-11,3838.45,INR,Company_O,INV-1014,Vendor payment
LEDG-50065,2023-10-04,4060.14,INR,Service_Provider_65,INV-1065,Consulting services
LEDG-50040,2023-10-20,3778.15,INR,Company_O,INV-1040,Vendor payment
LEDG-50032,2023-10-22,1289.81,INR,Company_G,INV-1032,Vendor payment
LEDG-50022,2023-10-14,2232.61,INR,Company_W,INV-1022,Vendor payment
