txn_id,ledger_id,match_pass,confidence
TXN-10034,LEDG-50034,pass1_exact,1.0
TXN-10021,LEDG-50021,pass1_exact,1.0
TXN-10022,LEDG-50022,pass1_exact,1.0
TXN-10049,LEDG-50049,pass1_exact,1.0
TXN-10012,LEDG-50012,pass1_exact,1.0
TXN-10039,LEDG-50039,pass1_exact,1.0
TXN-10029,LEDG-50029,pass1_exact,1.0
TXN-10006,LEDG-50006,pass1_exact,1.0
TXN-10018,LEDG-50018,pass1_exact,1.0
TXN-10010,LEDG-50010,pass1_exact,1.0
TXN-10042,LEDG-50042,pass1_exact,1.0
TXN-10009,LEDG-50009,pass1_exact,1.0
TXN-10025,LEDG-50025,pass1_exact,1.0
TXN-10019,LEDG-50019,pass1_exact,1.0
TXN-10007,LEDG-50007,pass1_exact,1.0
TXN-10047,LEDG-50047,pass1_exact,1.0
TXN-10043,LEDG-50043,pass1_exact,1.0
TXN-10036,LEDG-50036,pass1_exact,1.0
TXN-10003,LEDG-50003,pass1_exact,1.0
TXN-10005,LEDG-50005,pass1_exact,1.0
TXN-10044,LEDG-50044,pass1_exact,1.0
TXN-10023,LEDG-50023,pass1_exact,1.0
TXN-10016,LEDG-50016,pass1_exact,1.0
TXN-10015,LEDG-50015,pass1_exact,1.0
TXN-10046,LEDG-50046,pass1_exact,1.0
TXN-10045,LEDG-50045,pass1_exact,1.0
TXN-10038,LEDG-50038,pass1_exact,1.0
TXN-10014,LEDG-50014,pass1_exact,1.0
TXN-10001,LEDG-50001,pass1_exact,1.0
TXN-10033,LEDG-50033,pass1_exact,1.0
TXN-10017,LEDG-50017,pass1_exact,1.0
TXN-10037,LEDG-50037,pass1_exact,1.0
TXN-10027,LEDG-50027,pass1_exact,1.0
TXN-10028,LEDG-50028,pass1_exact,1.0
TXN-10002,LEDG-50002,pass1_exact,1.0
TXN-10040,LEDG-50040,pass1_exact,1.0
TXN-10013,LEDG-50013,pass1_exact,1.0
TXN-10026,LEDG-50026,pass1_exact,1.0
TXN-10008,LEDG-50008,pass1_exact,1.0
TXN-10048,LEDG-50048,pass1_exact,1.0
TXN-10041,LEDG-50041,pass1_exact,1.0
TXN-10031,LEDG-50031,pass1_exact,1.0
TXN-10035,LEDG-50035,pass1_exact,1.0
TXN-10024,LEDG-50024,pass1_exact,1.0
TXN-10020,LEDG-50020,pass1_exact,1.0
TXN-10032,LEDG-50032,pass1_exact,1.0
TXN-10030,LEDG-50030,pass1_exact,1.0
TXN-10050,LEDG-50050,pass1_exact,1.0
TXN-10011,LEDG-50011,pass1_exact,1.0
TXN-10004,LEDG-50004,pass1_exact,1.0
