txn_id,date,amount,currency,description,reference_id
TXN-10079,2023-10-19,2247.68,INR,RAZORPAY SETTLEMENT order_RzP79xk,order_RzP79xk
TXN-10067,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10078,2023-10-24,2692.08,INR,AMZN WEB SRVCS 78,AW-78
TXN-10076,2023-10-13,2359.01,INR,AMZN WEB SRVCS 76,AW-76
TXN-10077,2023-10-06,1271.39,INR,AMZN WEB SRVCS 77,AW-77
TXN-10068,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10070,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10066,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10069,2023-10-16,25.0,INR,Monthly Account Maintenance Fee,
TXN-10080,2023-10-24,2588.42,INR,RAZORPAY SETTLEMENT order_RzP80xk,order_RzP80xk
