ledger_id,date,amount,currency,party_name,invoice_id,description
LEDG-50076,2023-10-08,2359.01,INR,AWS Cloud Hosting,AW-76,Monthly Server Bill
LEDG-50077,2023-10-01,1271.39,INR,AWS Cloud Hosting,AW-77,Monthly Server Bill
LEDG-50072,2023-10-29,809.46,INR,Software Inc,INV-1072,Annual SaaS License
LEDG-50073,2023-10-29,887.31,INR,Software Inc,INV-1073,Annual SaaS License
LEDG-50074,2023-10-29,837.48,INR,Software Inc,INV-1074,Annual SaaS License
LEDG-50079,2023-10-14,2247.68,INR,Razorpay Payment Gateway,order_RzP79xk,"Customer order payout, net of gateway fee"
LEDG-50078,2023-10-19,2692.08,INR,AWS Cloud Hosting,AW-78,Monthly Server Bill
LEDG-50080,2023-10-19,2588.42,INR,Razorpay Payment Gateway,order_RzP80xk,"Customer order payout, net of gateway fee"
LEDG-50075,2023-10-29,549.21,INR,Software Inc,INV-1075,Annual SaaS License
LEDG-50071,2023-10-29,881.52,INR,Software Inc,INV-1071,Annual SaaS License
